,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
645,-13.16320403,42.69613242,2443.0398219999997,97.35010708,-1.77,53.64,5.73,-4.09,10.59,6.865,28,10,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
646,-1.630099035,16.02180371,1984.1253,90.76049722,-1.64,53.38,5.59,-10.17,4.77,7.1160000000000005,12,4,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
647,15.08489519,45.44449645,2460.356888,98.52908606,-0.78,53.79,5.67,-3.94,9.61,6.711,56,4,1,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
648,-8.915383504,54.87757094,2404.043505,97.91228107,-1.49,53.75,5.6,-2.24,8.22,6.752000000000001,45,4,2,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
649,-14.30410314,30.53083992,2491.409982,84.20044373,-1.5,54.22,5.62,3.16,-2.1,6.277,6,4,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
650,-12.2377694,44.49728978,2387.4750289999997,96.4012306,-1.05,53.64,5.65,-3.04,9.83,6.856,25,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
651,-12.67416425,54.26546004,2485.749955,98.18668677,-1.03,53.52,5.56,-2.18,8.11,6.978,29,4,1,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
652,-14.12337827,31.31933004,2385.899257,98.55861052,-1.5,53.14,5.6,-2.17,9.44,7.362,45,4,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
653,11.96463875,32.77149166,2360.507141,96.92629824,-1.35,53.65,5.61,-6.76,10.46,6.849,28,10,0,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
654,-10.81177354,40.58293554,2485.144073,95.99104087,-1.43,53.56,5.65,-3.82,10.32,6.935,12,4,3,1,2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
655,-8.219486602,38.675586700000004,2624.617537,84.60140572,-1.6,54.28,5.62,2.81,-0.22,6.216,6,4,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
